pair,tenor,tenor_years,F_CME,F_CIP,basis_cme_bps
EUR/USD,3M,0.25,1.1759205357142857,1.1765179944725128,20.31793862942997
EUR/USD,6M,0.5,1.1797195741758242,1.1814675910966745,29.612514685846524
EUR/USD,1Y,1.0,1.1845875,1.1911296168323775,55.07501985503951
EUR/USD,2Y,2.0,1.1973982142857142,1.2056693126921592,34.41905387734383
GBP/USD,3M,0.25,1.3513466346153846,1.3510012816488177,-10.223789952984028
GBP/USD,6M,0.5,1.3482331043956044,1.3506049666300908,35.15383706198944
GBP/USD,1Y,1.0,1.3447857142857143,1.3494550561748666,34.66168736856742
GBP/USD,2Y,2.0,1.335667857142857,1.3399416992311473,15.973353484938022
JPY/USD,3M,0.25,0.006313837225274725,0.006313764975000665,-0.45772917401553076
JPY/USD,6M,0.5,0.006359168956043956,0.006357959097430461,-3.805446047434454
JPY/USD,1Y,1.0,0.006444732142857143,0.006437783204302456,-10.78817147332496
JPY/USD,2Y,2.0,0.006588979591836735,0.006560504993390201,-21.65456962947706
AUD/USD,3M,0.25,0.716556456043956,0.7170677086706654,28.529242794058007
AUD/USD,6M,0.5,0.7145399038461538,0.7157699734950339,34.400096695731946
AUD/USD,1Y,1.0,0.7111517857142857,0.7121103999395878,13.470664504715753
AUD/USD,2Y,2.0,0.7026456632653061,0.7037181816652217,7.626181600888335
