pair,tenor,tenor_years,cme_basis_bps,dtcc_basis_bps,dtcc_n_trades,delta_bps
EUR/USD,3M,0.25,-20.31793862942997,-4.5,41,-15.817938629429971
EUR/USD,6M,0.5,-29.612514685846524,-1.5,23,-28.112514685846524
EUR/USD,1Y,1.0,-55.07501985503951,-2.5,121,-52.57501985503951
EUR/USD,2Y,2.0,-34.41905387734383,-3.12,109,-31.299053877343827
GBP/USD,3M,0.25,10.223789952984028,3.9,38,6.323789952984027
GBP/USD,6M,0.5,-35.15383706198944,4.0,7,-39.15383706198944
GBP/USD,1Y,1.0,-34.66168736856742,3.0,101,-37.66168736856742
GBP/USD,2Y,2.0,-15.973353484938022,2.88,76,-18.853353484938022
JPY/USD,3M,0.25,0.4577291740155307,-22.25,115,22.70772917401553
JPY/USD,6M,0.5,3.805446047434454,-21.9,34,25.705446047434453
JPY/USD,1Y,1.0,10.78817147332496,-29.4,141,40.18817147332496
JPY/USD,2Y,2.0,21.65456962947706,-26.62,155,48.27456962947706
AUD/USD,3M,0.25,-28.529242794058007,8.62,14,-37.149242794058004
AUD/USD,6M,0.5,-34.400096695731946,7.12,6,-41.520096695731944
AUD/USD,1Y,1.0,-13.470664504715751,9.25,30,-22.72066450471575
AUD/USD,2Y,2.0,-7.626181600888335,12.0,1,-19.626181600888337
